md5,path,og_filename,og_uri,sample_id,read_type,replicate,file_name,gcp_uri,sample_name
866253812cf2708863615b24df4f571c,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_D1_S15_R2_001.fastq.gz,V11D06-100_D1_S15_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D06-100_D1_S15_R2_001.fastq.gz,V11D06-100_D1,R2,Rep2,6OHDA_ST.20220719.run2.V11D06-100_D1_S15_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D06-100_D1_S15_R2_001.fastq.gz,V11D06-100_D1_Rep2
6294be792cdd0dea63fbe0041eb50949,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D08-305_A1_S1_R1_001.fastq.gz,V11D08-305_A1_S1_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D08-305_A1_S1_R1_001.fastq.gz,V11D08-305_A1,R1,Rep2,6OHDA_ST.20220719.run2.V11D08-305_A1_S1_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D08-305_A1_S1_R1_001.fastq.gz,V11D08-305_A1_Rep2
4bb1f29fe2ac52e6a9080bdd3d610d28,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D08-305_A1_S1_R2_001.fastq.gz,V11D08-305_A1_S1_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D08-305_A1_S1_R2_001.fastq.gz,V11D08-305_A1,R2,Rep2,6OHDA_ST.20220719.run2.V11D08-305_A1_S1_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D08-305_A1_S1_R2_001.fastq.gz,V11D08-305_A1_Rep2
191e877fd396d136655f1d3b9294c041,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D08-305_D1_S2_R1_001.fastq.gz,V11D08-305_D1_S2_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D08-305_D1_S2_R1_001.fastq.gz,V11D08-305_D1,R1,Rep2,6OHDA_ST.20220719.run2.V11D08-305_D1_S2_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D08-305_D1_S2_R1_001.fastq.gz,V11D08-305_D1_Rep2
bbef46306e20bcb805aa1fbd7eb46f73,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D08-305_D1_S2_R2_001.fastq.gz,V11D08-305_D1_S2_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-2nd-run/V11D08-305_D1_S2_R2_001.fastq.gz,V11D08-305_D1,R2,Rep2,6OHDA_ST.20220719.run2.V11D08-305_D1_S2_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run2.V11D08-305_D1_S2_R2_001.fastq.gz,V11D08-305_D1_Rep2
17a195bd48642529c8f469671ab739d1,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-069_B1_S3_R1_001.fastq.gz,V11D06-069_B1_S3_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-069_B1_S3_R1_001.fastq.gz,V11D06-069_B1,R1,Rep1,6OHDA_ST.20220719.run1.V11D06-069_B1_S3_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-069_B1_S3_R1_001.fastq.gz,V11D06-069_B1_Rep1
a7c65aca996ef5c109f4413edd701ec2,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-069_B1_S3_R2_001.fastq.gz,V11D06-069_B1_S3_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-069_B1_S3_R2_001.fastq.gz,V11D06-069_B1,R2,Rep1,6OHDA_ST.20220719.run1.V11D06-069_B1_S3_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-069_B1_S3_R2_001.fastq.gz,V11D06-069_B1_Rep1
af5f41828cb648f94013141e26ce65ac,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-069_C1_S4_R1_001.fastq.gz,V11D06-069_C1_S4_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-069_C1_S4_R1_001.fastq.gz,V11D06-069_C1,R1,Rep1,6OHDA_ST.20220719.run1.V11D06-069_C1_S4_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-069_C1_S4_R1_001.fastq.gz,V11D06-069_C1_Rep1
23a0f52297cdc00943a36803f41d2236,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-069_C1_S4_R2_001.fastq.gz,V11D06-069_C1_S4_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-069_C1_S4_R2_001.fastq.gz,V11D06-069_C1,R2,Rep1,6OHDA_ST.20220719.run1.V11D06-069_C1_S4_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-069_C1_S4_R2_001.fastq.gz,V11D06-069_C1_Rep1
30999532f05fa64ca782d392ee8dc4f1,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-070_B1_S5_R1_001.fastq.gz,V11D06-070_B1_S5_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-070_B1_S5_R1_001.fastq.gz,V11D06-070_B1,R1,Rep1,6OHDA_ST.20220719.run1.V11D06-070_B1_S5_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-070_B1_S5_R1_001.fastq.gz,V11D06-070_B1_Rep1
983aa99ab38dcf5060a61e1539bb492b,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-070_B1_S5_R2_001.fastq.gz,V11D06-070_B1_S5_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-070_B1_S5_R2_001.fastq.gz,V11D06-070_B1,R2,Rep1,6OHDA_ST.20220719.run1.V11D06-070_B1_S5_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-070_B1_S5_R2_001.fastq.gz,V11D06-070_B1_Rep1
fc53b6c9c669d0dc5530ed3369ca45a3,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-070_C1_S6_R1_001.fastq.gz,V11D06-070_C1_S6_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-070_C1_S6_R1_001.fastq.gz,V11D06-070_C1,R1,Rep1,6OHDA_ST.20220719.run1.V11D06-070_C1_S6_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-070_C1_S6_R1_001.fastq.gz,V11D06-070_C1_Rep1
97519fd83433770e10dcaaadeeea6a92,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-070_C1_S6_R2_001.fastq.gz,V11D06-070_C1_S6_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-070_C1_S6_R2_001.fastq.gz,V11D06-070_C1,R2,Rep1,6OHDA_ST.20220719.run1.V11D06-070_C1_S6_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-070_C1_S6_R2_001.fastq.gz,V11D06-070_C1_Rep1
0c90185e92f2d345afd66c8233abcae7,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-070_D1_S7_R1_001.fastq.gz,V11D06-070_D1_S7_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-070_D1_S7_R1_001.fastq.gz,V11D06-070_D1,R1,Rep1,6OHDA_ST.20220719.run1.V11D06-070_D1_S7_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-070_D1_S7_R1_001.fastq.gz,V11D06-070_D1_Rep1
ee20ed4e48d285e6f9144a7461421d4a,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-070_D1_S7_R2_001.fastq.gz,V11D06-070_D1_S7_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-070_D1_S7_R2_001.fastq.gz,V11D06-070_D1,R2,Rep1,6OHDA_ST.20220719.run1.V11D06-070_D1_S7_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-070_D1_S7_R2_001.fastq.gz,V11D06-070_D1_Rep1
bf5ffe31a123631e383ffb788b4d61bb,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_A1_S8_R1_001.fastq.gz,V11D06-099_A1_S8_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_A1_S8_R1_001.fastq.gz,V11D06-099_A1,R1,Rep1,6OHDA_ST.20220719.run1.V11D06-099_A1_S8_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-099_A1_S8_R1_001.fastq.gz,V11D06-099_A1_Rep1
7f28d933b5d13ea92853c596adcc3007,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_A1_S8_R2_001.fastq.gz,V11D06-099_A1_S8_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_A1_S8_R2_001.fastq.gz,V11D06-099_A1,R2,Rep1,6OHDA_ST.20220719.run1.V11D06-099_A1_S8_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-099_A1_S8_R2_001.fastq.gz,V11D06-099_A1_Rep1
f4a1203d8d7e3cc13367401a777cee7e,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_B1_S9_R1_001.fastq.gz,V11D06-099_B1_S9_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_B1_S9_R1_001.fastq.gz,V11D06-099_B1,R1,Rep1,6OHDA_ST.20220719.run1.V11D06-099_B1_S9_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-099_B1_S9_R1_001.fastq.gz,V11D06-099_B1_Rep1
f78de8da4dc4e4b1a84004e0e7af25ce,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_B1_S9_R2_001.fastq.gz,V11D06-099_B1_S9_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_B1_S9_R2_001.fastq.gz,V11D06-099_B1,R2,Rep1,6OHDA_ST.20220719.run1.V11D06-099_B1_S9_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-099_B1_S9_R2_001.fastq.gz,V11D06-099_B1_Rep1
e4aa05d4ab82eeced7e2905a3e05114e,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_C1_S10_R1_001.fastq.gz,V11D06-099_C1_S10_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_C1_S10_R1_001.fastq.gz,V11D06-099_C1,R1,Rep1,6OHDA_ST.20220719.run1.V11D06-099_C1_S10_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-099_C1_S10_R1_001.fastq.gz,V11D06-099_C1_Rep1
ff6aa84c4ffc7af942e8054810fc7d70,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_C1_S10_R2_001.fastq.gz,V11D06-099_C1_S10_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_C1_S10_R2_001.fastq.gz,V11D06-099_C1,R2,Rep1,6OHDA_ST.20220719.run1.V11D06-099_C1_S10_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-099_C1_S10_R2_001.fastq.gz,V11D06-099_C1_Rep1
6c0d997aa9931440cd500b74e004fffd,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_D1_S11_R1_001.fastq.gz,V11D06-099_D1_S11_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_D1_S11_R1_001.fastq.gz,V11D06-099_D1,R1,Rep1,6OHDA_ST.20220719.run1.V11D06-099_D1_S11_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-099_D1_S11_R1_001.fastq.gz,V11D06-099_D1_Rep1
978d1357a43a70c83fa2e3e763c5abc0,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_D1_S11_R2_001.fastq.gz,V11D06-099_D1_S11_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-099_D1_S11_R2_001.fastq.gz,V11D06-099_D1,R2,Rep1,6OHDA_ST.20220719.run1.V11D06-099_D1_S11_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-099_D1_S11_R2_001.fastq.gz,V11D06-099_D1_Rep1
9eb21390b293e9d11fc2858c501d4ca1,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-100_A1_S12_R1_001.fastq.gz,V11D06-100_A1_S12_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-100_A1_S12_R1_001.fastq.gz,V11D06-100_A1,R1,Rep1,6OHDA_ST.20220719.run1.V11D06-100_A1_S12_R1_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-100_A1_S12_R1_001.fastq.gz,V11D06-100_A1_Rep1
0c9a990c5050271b53624d1eba798b57,fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-100_A1_S12_R2_001.fastq.gz,V11D06-100_A1_S12_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST/fastq_files_with_2run_2022-07-19/fastq-run-1/V11D06-100_A1_S12_R2_001.fastq.gz,V11D06-100_A1,R2,Rep1,6OHDA_ST.20220719.run1.V11D06-100_A1_S12_R2_001.fastq.gz,gs://asap-raw-team-cragg-mouse-spatial-visium-striatum/fastqs/6OHDA_ST.20220719.run1.V11D06-100_A1_S12_R2_001.fastq.gz,V11D06-100_A1_Rep1
