sample_id;replicate;replicate_count;repeated_sample;batch;file_type;file_name;file_description;file_MD5;adjustment;content;header;annotation;configuration_file
ASAP156_PD_NP21-57_PFC_bulk;NA;1;NA;1;FASTQ;ASAP156_PD_NP21-57_PFC_bulk_R1.fastq.gz;Raw reads;662c0e24eb79aad79e40576b3163123f;raw;Reads;;;
ASAP156_PD_NP21-57_PFC_bulk;NA;1;NA;1;FASTQ;ASAP156_PD_NP21-57_PFC_bulk_R2.fastq.gz;Raw reads;2a61a42927284956273d5603dc29759d;raw;Reads;;;
ASAP157_PD_NP21-208_PFC_bulk;NA;1;NA;1;FASTQ;ASAP157_PD_NP21-208_PFC_bulk_R1.fastq.gz;Raw reads;398a9199b13285e60f1bf65ba0f7aa61;raw;Reads;;;
ASAP157_PD_NP21-208_PFC_bulk;NA;1;NA;1;FASTQ;ASAP157_PD_NP21-208_PFC_bulk_R2.fastq.gz;Raw reads;530637bbbc294a770339736002fa042a;raw;Reads;;;
ASAP158_PD_NP21-217_PFC_bulk;NA;1;NA;1;FASTQ;ASAP158_PD_NP21-217_PFC_bulk_R1.fastq.gz;Raw reads;6dffb01bab17ab3618abe104278a8d10;raw;Reads;;;
ASAP158_PD_NP21-217_PFC_bulk;NA;1;NA;1;FASTQ;ASAP158_PD_NP21-217_PFC_bulk_R2.fastq.gz;Raw reads;f83db73e72a7f0e7a88e67e96f08751a;raw;Reads;;;
ASAP159_ctrl_16-119_PFC_bulk;NA;1;NA;1;FASTQ;ASAP159_ctrl_16-119_PFC_bulk_R1.fastq.gz;Raw reads;f0e9adabf367bec55540ddc909d9bdc3;raw;Reads;;;
ASAP159_ctrl_16-119_PFC_bulk;NA;1;NA;1;FASTQ;ASAP159_ctrl_16-119_PFC_bulk_R2.fastq.gz;Raw reads;acecbfa63a9bbb9f1126b21930ca0847;raw;Reads;;;
ASAP160_ctrl_NP17-216_PFC_bulk;NA;1;NA;1;FASTQ;ASAP160_ctrl_NP17-216_PFC_bulk_R1.fastq.gz;Raw reads;1614be4609995ef817f7564cbbd159cc;raw;Reads;;;
ASAP160_ctrl_NP17-216_PFC_bulk;NA;1;NA;1;FASTQ;ASAP160_ctrl_NP17-216_PFC_bulk_R2.fastq.gz;Raw reads;5a62b4d2b891a81e8b80a41db5d52ba3;raw;Reads;;;
ASAP161_ctrl_NP18-46_PFC_bulk;NA;1;NA;1;FASTQ;ASAP161_ctrl_NP18-46_PFC_bulk_R1.fastq.gz;Raw reads;84b0b65df01228ce55005d06f8886055;raw;Reads;;;
ASAP161_ctrl_NP18-46_PFC_bulk;NA;1;NA;1;FASTQ;ASAP161_ctrl_NP18-46_PFC_bulk_R2.fastq.gz;Raw reads;a38517fb0beb16e98357146620e7d871;raw;Reads;;;
ASAP162_ctrl_NP18-148_PFC_bulk;NA;1;NA;1;FASTQ;ASAP162_ctrl_NP18-148_PFC_bulk_R1.fastq.gz;Raw reads;e8438d0c7da68e691648041ef8bb32de;raw;Reads;;;
ASAP162_ctrl_NP18-148_PFC_bulk;NA;1;NA;1;FASTQ;ASAP162_ctrl_NP18-148_PFC_bulk_R2.fastq.gz;Raw reads;6d43a68047aa3bd5212c24b021bc8e64;raw;Reads;;;
ASAP163_PD_NP21-208_PUT_bulk;NA;1;NA;1;FASTQ;ASAP163_PD_NP21-208_PUT_bulk_R1.fastq.gz;Raw reads;38f885b02c0fbd958abe2bf848f1e14b;raw;Reads;;;
ASAP163_PD_NP21-208_PUT_bulk;NA;1;NA;1;FASTQ;ASAP163_PD_NP21-208_PUT_bulk_R2.fastq.gz;Raw reads;8ee4d416df3266315038c3fe4854ef7d;raw;Reads;;;
ASAP164_PD_NP21-217_PUT_bulk;NA;1;NA;1;FASTQ;ASAP164_PD_NP21-217_PUT_bulk_R1.fastq.gz;Raw reads;aa1cfa9ef04d9d464a3a18af6a6dfcc8;raw;Reads;;;
ASAP164_PD_NP21-217_PUT_bulk;NA;1;NA;1;FASTQ;ASAP164_PD_NP21-217_PUT_bulk_R2.fastq.gz;Raw reads;4972814c7118a7969fe838b7a5b32667;raw;Reads;;;
ASAP165_ctrl_NP16-284_PFC_bulk;NA;1;NA;1;FASTQ;ASAP165_ctrl_NP16-284_PFC_bulk_R1.fastq.gz;Raw reads;88020f1931fbc721393f8cee646a45cf;raw;Reads;;;
ASAP165_ctrl_NP16-284_PFC_bulk;NA;1;NA;1;FASTQ;ASAP165_ctrl_NP16-284_PFC_bulk_R2.fastq.gz;Raw reads;bf457656c658f5fd167d5fc929af4a1c;raw;Reads;;;
ASAP166_ctrl_NP16-293_PFC_bulk;NA;1;NA;1;FASTQ;ASAP166_ctrl_NP16-293_PFC_bulk_R1.fastq.gz;Raw reads;625e394e5e21f3046e30aca2fc95561d;raw;Reads;;;
ASAP166_ctrl_NP16-293_PFC_bulk;NA;1;NA;1;FASTQ;ASAP166_ctrl_NP16-293_PFC_bulk_R2.fastq.gz;Raw reads;38a96b1280895192b9ebbb8d991950d0;raw;Reads;;;
ASAP167_ctrl_NP17-20_PFC_bulk;NA;1;NA;1;FASTQ;ASAP167_ctrl_NP17-20_PFC_bulk_R1.fastq.gz;Raw reads;42fd4dc4fcde77b0bff8b6f01053f725;raw;Reads;;;
ASAP167_ctrl_NP17-20_PFC_bulk;NA;1;NA;1;FASTQ;ASAP167_ctrl_NP17-20_PFC_bulk_R2.fastq.gz;Raw reads;4666a79b3699ad07d9093e29c19897ea;raw;Reads;;;
ASAP168_ctrl_NP16-284_PUT_bulk;NA;1;NA;1;FASTQ;ASAP168_ctrl_NP16-284_PUT_bulk_R1.fastq.gz;Raw reads;d411195bce7e97f43197516ea45098bb;raw;Reads;;;
ASAP168_ctrl_NP16-284_PUT_bulk;NA;1;NA;1;FASTQ;ASAP168_ctrl_NP16-284_PUT_bulk_R2.fastq.gz;Raw reads;c019c2459d875c34c7a67fa0a8f9342f;raw;Reads;;;
ASAP170_ctrl_NP17-20_PUT_bulk;NA;1;NA;1;FASTQ;ASAP170_ctrl_NP17-20_PUT_bulk_R1.fastq.gz;Raw reads;6174c8a7e2459aab9437cfb7e60adfbd;raw;Reads;;;
ASAP170_ctrl_NP17-20_PUT_bulk;NA;1;NA;1;FASTQ;ASAP170_ctrl_NP17-20_PUT_bulk_R2.fastq.gz;Raw reads;1ace5bf6d2a96dd7c43260e4ba8bab07;raw;Reads;;;
ASAP172_ctrl_NP18-46_PUT_bulk;NA;1;NA;1;FASTQ;ASAP172_ctrl_NP18-46_PUT_bulk_R1.fastq.gz;Raw reads;7666779503db1daade6b516f589d6ec5;raw;Reads;;;
ASAP172_ctrl_NP18-46_PUT_bulk;NA;1;NA;1;FASTQ;ASAP172_ctrl_NP18-46_PUT_bulk_R2.fastq.gz;Raw reads;622efc7c900b3760b2b2a1c6727d9770;raw;Reads;;;
ASAP173_PD_NP21-57_PUT_bulk;NA;1;NA;1;FASTQ;ASAP173_PD_NP21-57_PUT_bulk_R1.fastq.gz;Raw reads;76f9a04e65ab185df3c6505ba256c807;raw;Reads;;;
ASAP173_PD_NP21-57_PUT_bulk;NA;1;NA;1;FASTQ;ASAP173_PD_NP21-57_PUT_bulk_R2.fastq.gz;Raw reads;aaad87c1fb626ddf048de05bfa0d04fc;raw;Reads;;;
ASAP174_ctrl_NP16-119_PUT_bulk;NA;1;NA;1;FASTQ;ASAP174_ctrl_NP16-119_PUT_bulk_R1.fastq.gz;Raw reads;11ed16652179a550f16881614fa490d8;raw;Reads;;;
ASAP174_ctrl_NP16-119_PUT_bulk;NA;1;NA;1;FASTQ;ASAP174_ctrl_NP16-119_PUT_bulk_R2.fastq.gz;Raw reads;ce5770aa09d6feac29574f1e6a0f6459;raw;Reads;;;
ASAP175_ctrl_NP16-284_SN_bulk;NA;1;NA;1;FASTQ;ASAP175_ctrl_NP16-284_SN_bulk_R1.fastq.gz;Raw reads;71155fdea052299b4a8ed2aba5d048d3;raw;Reads;;;
ASAP175_ctrl_NP16-284_SN_bulk;NA;1;NA;1;FASTQ;ASAP175_ctrl_NP16-284_SN_bulk_R2.fastq.gz;Raw reads;c3566f3b99ced57a4d7bbee7aea0c66f;raw;Reads;;;
ASAP176_ctrl_NP18-148_PUT_bulk;NA;1;NA;1;FASTQ;ASAP176_ctrl_NP18-148_PUT_bulk_R1.fastq.gz;Raw reads;bda2cba03e8989183921777bed284648;raw;Reads;;;
ASAP176_ctrl_NP18-148_PUT_bulk;NA;1;NA;1;FASTQ;ASAP176_ctrl_NP18-148_PUT_bulk_R2.fastq.gz;Raw reads;6ef0c8b943ac0565fd8f8368cc73c58a;raw;Reads;;;
ASAP177_PD_NP21-57_SN_bulk;NA;1;NA;1;FASTQ;ASAP177_PD_NP21-57_SN_bulk_R1.fastq.gz;Raw reads;3e14a2afb36d195df59f95d1e50c63df;raw;Reads;;;
ASAP177_PD_NP21-57_SN_bulk;NA;1;NA;1;FASTQ;ASAP177_PD_NP21-57_SN_bulk_R2.fastq.gz;Raw reads;2367aa4115e6374751eb235840546f46;raw;Reads;;;
ASAP178_PD_NP21-208_SN_bulk;NA;1;NA;1;FASTQ;ASAP178_PD_NP21-208_SN_bulk_R1.fastq.gz;Raw reads;3e73f3176da96bc1048fbb31f9c1ae19;raw;Reads;;;
ASAP178_PD_NP21-208_SN_bulk;NA;1;NA;1;FASTQ;ASAP178_PD_NP21-208_SN_bulk_R2.fastq.gz;Raw reads;7bc4a41ab0b3dcacb7d923cae2f54eae;raw;Reads;;;
ASAP179_PD_NP21-217_SN_bulk;NA;1;NA;1;FASTQ;ASAP179_PD_NP21-217_SN_bulk_R1.fastq.gz;Raw reads;2b5ba3796c0f7bf03f4bf3b5b640794f;raw;Reads;;;
ASAP179_PD_NP21-217_SN_bulk;NA;1;NA;1;FASTQ;ASAP179_PD_NP21-217_SN_bulk_R2.fastq.gz;Raw reads;4577ef427fedb79e33e1d34ad8c9d413;raw;Reads;;;
ASAP180_ctrl_NP16-119_SN_bulk;NA;1;NA;1;FASTQ;ASAP180_ctrl_NP16-119_SN_bulk_R1.fastq.gz;Raw reads;9f38316cc9ca28ab2816bba0cdff82fe;raw;Reads;;;
ASAP180_ctrl_NP16-119_SN_bulk;NA;1;NA;1;FASTQ;ASAP180_ctrl_NP16-119_SN_bulk_R2.fastq.gz;Raw reads;dc53bc23b0ff66466d184d84b953382d;raw;Reads;;;
ASAP181_ctrl_NP16-293_SN_bulk;NA;1;NA;1;FASTQ;ASAP181_ctrl_NP16-293_SN_bulk_R1.fastq.gz;Raw reads;f4b55f0b1162f9f5aa6ded97da6d4a14;raw;Reads;;;
ASAP181_ctrl_NP16-293_SN_bulk;NA;1;NA;1;FASTQ;ASAP181_ctrl_NP16-293_SN_bulk_R2.fastq.gz;Raw reads;faafff761c8d284819d656d1c974503e;raw;Reads;;;
ASAP184_ctrl_NP18-148_SN_bulk;NA;1;NA;1;FASTQ;ASAP184_ctrl_NP18-148_SN_bulk_R1.fastq.gz;Raw reads;f44214a70f90b899295268d5f00fe68e;raw;Reads;;;
ASAP184_ctrl_NP18-148_SN_bulk;NA;1;NA;1;FASTQ;ASAP184_ctrl_NP18-148_SN_bulk_R2.fastq.gz;Raw reads;ab13689019ab940a8f0c0d6c6ae6bfe6;raw;Reads;;;
ASAP185_PD_NP21-217_AMY_bulk;NA;1;NA;1;FASTQ;ASAP185_PD_NP21-217_AMY_bulk_R1.fastq.gz;Raw reads;a51dfebabf5fe7c3d268417b7853034c;raw;Reads;;;
ASAP185_PD_NP21-217_AMY_bulk;NA;1;NA;1;FASTQ;ASAP185_PD_NP21-217_AMY_bulk_R2.fastq.gz;Raw reads;8099846b60a2cffb1f62bb493f541731;raw;Reads;;;
ASAP186_ctrl_NP16-119_AMY_bulk;NA;1;NA;1;FASTQ;ASAP186_ctrl_NP16-119_AMY_bulk_R1.fastq.gz;Raw reads;3dfce2c4158f727036f42b89b31dbd6e;raw;Reads;;;
ASAP186_ctrl_NP16-119_AMY_bulk;NA;1;NA;1;FASTQ;ASAP186_ctrl_NP16-119_AMY_bulk_R2.fastq.gz;Raw reads;139eaea70ec766569d5ce8daf911d684;raw;Reads;;;
ASAP188_ctrl_NP16-293_AMY_bulk;NA;1;NA;1;FASTQ;ASAP188_ctrl_NP16-293_AMY_bulk_R1.fastq.gz;Raw reads;aa060a716b9aa0edb6693ab21edebe17;raw;Reads;;;
ASAP188_ctrl_NP16-293_AMY_bulk;NA;1;NA;1;FASTQ;ASAP188_ctrl_NP16-293_AMY_bulk_R2.fastq.gz;Raw reads;4ffcb48022a7d266ac9fb7adb09fb1cb;raw;Reads;;;
ASAP189_ctrl_NP18-148_AMY_bulk;NA;1;NA;1;FASTQ;ASAP189_ctrl_NP18-148_AMY_bulk_R1.fastq.gz;Raw reads;f0b8303b6f0dbaea6686e1d3d2cf7c3a;raw;Reads;;;
ASAP189_ctrl_NP18-148_AMY_bulk;NA;1;NA;1;FASTQ;ASAP189_ctrl_NP18-148_AMY_bulk_R2.fastq.gz;Raw reads;3af63eef85cd4cf42ec0c0633b034ccb;raw;Reads;;;
ASAP190_PD_NP21-57_AMY_bulk;NA;1;NA;1;FASTQ;ASAP190_PD_NP21-57_AMY_bulk_R1.fastq.gz;Raw reads;50a92cfeca1a7cd2dd51bb4be3126594;raw;Reads;;;
ASAP190_PD_NP21-57_AMY_bulk;NA;1;NA;1;FASTQ;ASAP190_PD_NP21-57_AMY_bulk_R2.fastq.gz;Raw reads;f41ac2ec9b18547fe88fa70f41c9ba93;raw;Reads;;;
ASAP191_PD_NP21-208_AMY_bulk;NA;1;NA;1;FASTQ;ASAP191_PD_NP21-208_AMY_bulk_R1.fastq.gz;Raw reads;42f253e65fdf7a26a87aac58070a90c8;raw;Reads;;;
ASAP191_PD_NP21-208_AMY_bulk;NA;1;NA;1;FASTQ;ASAP191_PD_NP21-208_AMY_bulk_R2.fastq.gz;Raw reads;51fb34e521466fbbac43b7ec643b5f98;raw;Reads;;;
ASAP192_PD_NP22-55_PFC_bulk;NA;1;NA;1;FASTQ;ASAP192_PD_NP22-55_PFC_bulk_R1.fastq.gz;Raw reads;3cc0a556fffbbf3b92537fc376edecf5;raw;Reads;;;
ASAP192_PD_NP22-55_PFC_bulk;NA;1;NA;1;FASTQ;ASAP192_PD_NP22-55_PFC_bulk_R2.fastq.gz;Raw reads;c341276705054253296dd76dd7c0ceed;raw;Reads;;;
ASAP193_PD_NP22-55_PUT_bulk;NA;1;NA;1;FASTQ;ASAP193_PD_NP22-55_PUT_bulk_R1.fastq.gz;Raw reads;7c260f25dc21ca59891a6d975c7962f6;raw;Reads;;;
